"filename", "language", "Python", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\irina\Desktop\EventMate\notifications\views.py", "Python", 11, 0, 0, 0, 2, 13
"c:\Users\irina\Desktop\EventMate\reviews\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\irina\Desktop\EventMate\reviews\admin.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\irina\Desktop\EventMate\reviews\apps.py", "Python", 3, 0, 0, 0, 3, 6
"c:\Users\irina\Desktop\EventMate\reviews\forms.py", "Python", 19, 0, 0, 0, 4, 23
"c:\Users\irina\Desktop\EventMate\reviews\migrations\0001_initial.py", "Python", 55, 0, 0, 1, 7, 63
"c:\Users\irina\Desktop\EventMate\reviews\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\irina\Desktop\EventMate\reviews\models.py", "Python", 26, 0, 0, 0, 10, 36
"c:\Users\irina\Desktop\EventMate\reviews\templates\reviews\leave_review.html", "HTML", 0, 19, 0, 0, 12, 31
"c:\Users\irina\Desktop\EventMate\reviews\tests.py", "Python", 78, 0, 0, 0, 18, 96
"c:\Users\irina\Desktop\EventMate\reviews\urls.py", "Python", 5, 0, 0, 0, 1, 6
"c:\Users\irina\Desktop\EventMate\reviews\views.py", "Python", 44, 0, 0, 0, 14, 58
"Total", "-", 1655, 817, 286, 81, 929, 3768
